website,logo,favicon
www.verizon.com,https://www.verizon.com/dam/vzwcom/gnav/global/verizonlogo.svg,
www.bing.com,,/sa/simg/favicon-2x.ico
www.facebook.com,,https://static.xx.fbcdn.net/rsrc.php/yz/r/kfyviawzntm.ico
www.t-mobile.com,,/favicon.ico
www.surveymonkey.com,https://prod.smassets.net/assets/cms/cc/app/2.107.0/images/logo-surveymonkey.svg,https://cdn.smassets.net/assets/cms/cc/app/static/favicon.ico
www.ask.com,,
www.shopify.com,,https://cdn.shopify.com/shopify-marketing_assets/static/shopify-favicon.png
?src=spr&rdpage=,,/favicon.ico
www.directv.com, /idpassets/sales/landingpages/directvhomepage/planselectlogos/nickelodeon.png,
www.xfinity.com,https://polaris.xfinity.com/images/svgs/xfinity_logo.svg,//cdn.comcast.com/learn/-/media/common/favicon/apple-touch-icon.png
www.constantcontact.com,https://images.ctfassets.net/t21gix3kzulv/78gf1s3cjprnl9rurf6q8w/3c20fb510dd4d4653feddf86ece35e1a/ctct_ripple_logo_horizontal_white_orange.svg,https://images.ctfassets.net/t21gix3kzulv/19utszt4mxesh0oenlmjzf/997ceddb0a55a4f815ad5b1a4836ca67/ctct_ripple_logo_icon_blue_orange_100x100.svg
www.aol.com,https://s.yimg.com/cv/apiv2/default/20190830/aol-logo.svg,https://s.yimg.com/cv/apiv2/aolfp/images/favicon/apple-touch-icon-57x57.png
in.godaddy.com,,//img6.wsimg.com/ux/favicon/apple-icon-114x114.png
www.att.com,,
www.zoho.com,,/sites/all/themes/zoho/favicon.ico
www.indeed.com,,/images/favicon.ico
www.webs.com,,/favicon.ico
www.intelius.com,//assets.intelius.com/funnel/assets/themes/clean/img/home/ota-logo.png,//assets.intelius.com/favicon.ico
www.dish.com,/images/nav/dishlogo.svg,/images/favicon.png
www.dotdash.com,,/assets/img/dash/favicon.ico
www.spokeo.com,,https://assets.production.spokeo.com/assets/v10/touch-icon_60-a18fe20bc2a23cf59ad442b48b58541dc71522cbdf0275f1c7133165dcf720a5.png
go.com,"https://lumiere-a.akamaihd.net/v1/images/shopdisney-logo-desktop_1f595224.jpeg?region=0,0,1536,300",https://static-mh.content.disney.io/matterhorn/assets/favicon-94e3862e7fb9.ico
www.bizrate.com,,https://s5.cnnx.io/s2static/us/br/e5638fff/local/mobile/css/bizicon.css
info,//localhost:3000:3000/share-sale/wp-content/uploads/2018/07/footer-logos.png,https://www.shareasale.com/info/wp-content/themes/share-sale/favicon.png
www.hubspot.com,,https://www.hubspot.com/hubfs/hubspot_logos/hubspot-inversed-favicon.png
www.swiftic.com,https://static-marketing.swiftic.com/images/site/2021/02/logo-for-website_564x270_black.png,https://static-marketing.swiftic.com/images/site/2017/05/favicon_new.png
en,https://secure.skypeassets.com/content/dam/scom/images/logos/re1mu3b.png,https://secure.skypeassets.com/apollo/2.1.1645/images/icons/favicon.ico
en,,/etc.clientlibs/bbcom/clientlibs/clientlib-etc-legacy/resources/bbcom-aem-project/images/favicon.ico
www.qualcomm.com,,/react/images/favicon.ico
www.peoplefinders.com,/assets/img/people-finders-logo-sm.svg,/assets/img/icons/favicon.ico
www.rackspace.com,/themes/custom/hansel/images/rs-logo-2020tm.svg,https://www.rackspace.com/sites/default/files/2020-12/apple-touch-icon.png
www.box.com,,/themes/custom/box/favicons/apple-touch-icon.png?qoe250
www.hostgator.com,,/static/cs/img/apple-touch-icon.png
us,,/us/arquivos/favicon_0.ico
en_eu,,https://www.zagg.com/media/favicon/default/zagg_favicon_200px_707070_01_7su_icon.ico
